Order_id,old_taxonID_linked_genome_sequence,new_taxonID_in_Fig.1,No. Complete and single-copy,No. Complete and duplicated,No. Fragmented,Missing,No. Complete and single-copy(pct),CUG_usage,#Organism Name linked to NCBI record,Strain linked to NCBI record,species linked to NCBI record,genus linked to NCBI record,family/clade linked to NCBI record,order linked to NCBI record,class linked to NCBI record,subphyum linked to NCBI record,phyum linked to NCBI record,Current species name in Mycobank,genus in Mycobank, family in Mycobank,order in Mycobank,class in Mycobank,subphylum in Mycobank,phylum in Mycobank,Assembly,Link
11,Aspergillus_parasiticus,Aspergillus_parasiticus,201,1,16,72,69.31034483,Leu,Aspergillus parasiticus,May-68,Aspergillus parasiticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,Aspergillus parasiticus,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001576805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/576/805/GCA_001576805.1_ASM157680v1/GCA_001576805.1_ASM157680v1_genomic.fna.gz
12,Fusarium_virguliforme,Neocosmospora_phaseoli_NRRL_34551,219,5,55,11,75.51724138,Leu,Fusarium virguliforme,NRRL 34551,Fusarium virguliforme,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Neocosmospora phaseoli,Neocosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001680525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/525/GCA_001680525.1_ASM168052v1/GCA_001680525.1_ASM168052v1_genomic.fna.gz
13,Pseudogymnoascus_sp._VKM_F-3775,Pseudogymnoascus_sp._VKM_F-3775,209,2,44,35,72.06896552,Leu,Pseudogymnoascus sp. VKM F-3775,VKM F-3775,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/715/GCA_000750715.1_DG4/GCA_000750715.1_DG4_genomic.fna.gz
14,Drechslerella_stenobrocha,Drechslerella_stenobrocha,211,0,5,74,72.75862069,Leu,Drechslerella stenobrocha 248,248,Drechslerella stenobrocha,Drechslerella,Orbiliaceae,Orbiliales,Orbiliomycetes,Pezizomycotina,Ascomycota,Drechslerella stenobrocha,Drechslerella,Orbiliaceae,Orbiliales,Orbiliomycetes,Pezizomycotina,Ascomycota,GCA_000525045.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/525/045/GCA_000525045.1_DREv1/GCA_000525045.1_DREv1_genomic.fna.gz
15,Cetradonia_linearis,Cetradonia_linearis,206,1,10,73,71.03448276,Leu,Cetradonia linearis,BA2,Cetradonia linearis,Cetradonia,Cetradoniaceae,Lecanorales,Lecanoromycetes,Pezizomycotina,Ascomycota,Cetradonia linearis,Cetradonia,Cladoniaceae,Lecanorales,Lecanoromycetes,Pezizomycotina,Ascomycota,GCA_003521265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/521/265/GCA_003521265.1_NYBG_CetLin_1.0/GCA_003521265.1_NYBG_CetLin_1.0_genomic.fna.gz
16,Cryomyces_antarcticus,Cryomyces_antarcticus,235,1,38,16,81.03448276,Leu,Cryomyces antarcticus CCFEE 534,CCFEE 534,Cryomyces antarcticus,Cryomyces,no_rank,no_rank,Dothideomycetes,Pezizomycotina,Ascomycota,Cryomyces antarcticus,Cryomyces,no_rank,no_rank,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_000504465.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/465/GCA_000504465.1_CryAan1.0/GCA_000504465.1_CryAan1.0_genomic.fna.gz
17,Pleosporales_sp._UM_1110_2012,Pleosporales_sp._UM_1110_2012,252,0,29,9,86.89655172,Leu,Pleosporales sp. UM 1110,UM 1110,Pleosporales sp.,no_rank,no_rank,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,NA,NA,no_rank,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_000263175.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/175/GCA_000263175.2_Pleo_1.0/GCA_000263175.2_Pleo_1.0_genomic.fna.gz
18,Magnaporthiopsis_poae,Magnaporthiopsis_poae,250,1,10,29,86.20689655,Leu,Magnaporthiopsis poae ATCC 64411,ATCC 64411,Magnaporthiopsis poae,Magnaporthiopsis,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,Magnaporthiopsis poae,Magnaporthiopsis,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000193285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/285/GCA_000193285.1_Mag_poae_ATCC_64411_V1/GCA_000193285.1_Mag_poae_ATCC_64411_V1_genomic.fna.gz
19,Madurella_mycetomatis,Madurella_mycetomatis,223,32,2,33,76.89655172,Leu,Madurella mycetomatis,mm55,Madurella mycetomatis,Madurella,no_rank,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,Madurella mycetomatis,Madurella,no_rank,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001275765.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/765/GCA_001275765.2_ASM127576v2/GCA_001275765.2_ASM127576v2_genomic.fna.gz
20,Cordyceps_confragosa,Cordyceps_confragosa,248,1,15,26,85.51724138,Leu,Cordyceps confragosa,UM487,Cordyceps confragosa,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Cordyceps confragosa,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001653215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/215/GCA_001653215.1_ASM165321v1/GCA_001653215.1_ASM165321v1_genomic.fna.gz
21,Fusarium_circinatum,Fusarium_circinatum,248,4,24,14,85.51724138,Leu,Fusarium circinatum,KS17,Fusarium circinatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Fusarium circinatum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002894005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/894/005/GCA_002894005.1_ASM289400v1/GCA_002894005.1_ASM289400v1_genomic.fna.gz
22,Colletotrichum_acutatum,Colletotrichum_acutatum,240,1,6,43,82.75862069,Leu,Colletotrichum acutatum,C71,Colletotrichum acutatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,Colletotrichum acutatum,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001662755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/755/GCA_001662755.1_ASM166275v1/GCA_001662755.1_ASM166275v1_genomic.fna.gz
23,Morchella_eximia,Morchella_eximia,242,4,18,26,83.44827586,Leu,Morchella eximia,MG90,Morchella eximia,Morchella,Morchellaceae,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,Morchella eximia,Morchella,Morchellaceae,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,GCA_003314645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/645/GCA_003314645.1_ASM331464v1/GCA_003314645.1_ASM331464v1_genomic.fna.gz
24,Lanzia_echinophila,Lanzia_echinophila,249,1,23,17,85.86206897,Leu,Lanzia echinophila,CBS 111548,Lanzia echinophila,Lanzia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Lanzia echinophila,Lanzia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000812885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/885/GCA_000812885.1_ASM81288v1/GCA_000812885.1_ASM81288v1_genomic.fna.gz
25,Rutstroemia_sydowiana,Rutstroemia_sydowiana,243,18,19,10,83.79310345,Leu,Rutstroemia sydowiana,CBS 115975,Rutstroemia sydowiana,Rutstroemia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Rutstroemia sydowiana,Rutstroemia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000812895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/895/GCA_000812895.1_ASM81289v1/GCA_000812895.1_ASM81289v1_genomic.fna.gz
26,Hymenoscyphus_salicellus,Hymenoscyphus_salicellus,258,1,20,11,88.96551724,Leu,Hymenoscyphus salicellus,CBS 111550,Hymenoscyphus salicellus,Hymenoscyphus,Helotiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Hymenoscyphus salicellus,Hymenoscyphus,Helotiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_001414355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/414/355/GCA_001414355.1_ASM141435v1/GCA_001414355.1_ASM141435v1_genomic.fna.gz
27,Colletotrichum_musae,Colletotrichum_musae,267,1,19,3,92.06896552,Leu,Colletotrichum musae,GM20,Colletotrichum musae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,Colletotrichum musae,Colletotrichum,Glomerellaceae,Glomerellales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002814275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/814/275/GCA_002814275.1_cmusae1.0/GCA_002814275.1_cmusae1.0_genomic.fna.gz
28,Pseudogymnoascus_sp._VKM_F-3557,Pseudogymnoascus_sp._VKM_F-3557,257,3,16,14,88.62068966,Leu,Pseudogymnoascus sp. VKM F-3557,VKM F-3557,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/665/GCA_000750665.1_DG3/GCA_000750665.1_DG3_genomic.fna.gz
29,Neurospora_pannonica,Neurospora_pannonica,257,0,18,15,88.62068966,Leu,Neurospora pannonica FGSC 7221,FGSC 7221,Neurospora pannonica,Neurospora,Sordariaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,Neurospora pannonica,Neurospora,Sordariaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000604225.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/225/GCA_000604225.2_NPAN1/GCA_000604225.2_NPAN1_genomic.fna.gz
30,Macrophomina_phaseolina,Macrophomina_phaseolina,247,0,7,36,85.17241379,Leu,Macrophomina phaseolina,MO00014,Macrophomina phaseolina,Macrophomina,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Pezizomycotina,Ascomycota,Macrophomina phaseolina,Macrophomina,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_001307885.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/885/GCA_001307885.1_ASM130788v1/GCA_001307885.1_ASM130788v1_genomic.fna.gz
31,Clarireedia_homoeocarpa,Clarireedia_homoeocarpa,261,12,12,5,90,Leu,Clarireedia homoeocarpa,DRR9,Clarireedia homoeocarpa,Clarireedia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,Clarireedia homoeocarpa,Clarireedia,Rutstroemiaceae,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_002242835.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/242/835/GCA_002242835.1_ASM224283v1/GCA_002242835.1_ASM224283v1_genomic.fna.gz
32,Fusarium_cuneirostrum,Neocosmospora_phaseoli_NRRL_31157,259,3,25,3,89.31034483,Leu,Fusarium cuneirostrum,NRRL 31157,Fusarium cuneirostrum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Neocosmospora phaseoli,Neocosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001680505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/505/GCA_001680505.1_ASM168050v1/GCA_001680505.1_ASM168050v1_genomic.fna.gz
33,Pseudogymnoascus_sp._24MN13,Pseudogymnoascus_sp._24MN13,249,2,22,17,85.86206897,Leu,Pseudogymnoascus sp. 24MN13,24MN13,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_001662595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/662/595/GCA_001662595.1_ASM166259v1/GCA_001662595.1_ASM166259v1_genomic.fna.gz
34,Cordyceps_sp._RAO-2017,Cordyceps_sp._RAO-2017,256,0,20,14,88.27586207,Leu,Cordyceps sp. RAO-2017,1346,Cordyceps sp.,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Cordyceps sp.,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002591385.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/591/385/GCA_002591385.1_Hirsu2/GCA_002591385.1_Hirsu2_genomic.fna.gz
35,Chaetomium_cochliodes,Chaetomium_cochliodes,256,3,21,10,88.27586207,Leu,Chaetomium cochliodes,CCM F-232,Chaetomium cochliodes,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,Chaetomium cochliodes,Chaetomium,Chaetomiaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001752565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/752/565/GCA_001752565.1_Ccoch_v1/GCA_001752565.1_Ccoch_v1_genomic.fna.gz
36,Cladosporium_cladosporioides,Cladosporium_cladosporioides,258,0,17,15,88.96551724,Leu,Cladosporium cladosporioides,TYU,Cladosporium cladosporioides,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,Cladosporium cladosporioides,Cladosporium,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota,GCA_002901145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/901/145/GCA_002901145.1_ASM290114v1/GCA_002901145.1_ASM290114v1_genomic.fna.gz
37,Emmonsia_sp._CAC-2015a,Emmonsia_sp._CAC-2015a,262,3,15,10,90.34482759,Leu,Emmonsia sp. CAC-2015a,CBS 136260,Emmonsia sp.,Emmonsia,Ajellomycetaceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,NA,Emmonsia,Ajellomycetaceae,Onygenales,Eurotiomycetes,Pezizomycotina,Ascomycota,GCA_001660665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/665/GCA_001660665.1_Emmo_afri_EA111/GCA_001660665.1_Emmo_afri_EA111_genomic.fna.gz
38,Pseudogymnoascus_sp._VKM_F-4246,Pseudogymnoascus_sp._VKM_F-4246,264,1,16,9,91.03448276,Leu,Pseudogymnoascus sp. VKM F-4246,VKM F-4246,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/735/GCA_000750735.1_DG5/GCA_000750735.1_DG5_genomic.fna.gz
39,Neurospora_terricola,Neurospora_terricola,259,0,13,18,89.31034483,Leu,Neurospora terricola FGSC 1889,FGSC 1889,Neurospora terricola,Neurospora,Sordariaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,Neurospora terricola,Neurospora,Sordariaceae,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_000604245.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/245/GCA_000604245.2_NTER1/GCA_000604245.2_NTER1_genomic.fna.gz
40,Magnaporthe_grisea,Magnaporthe_grisea,258,1,12,19,88.96551724,Leu,Magnaporthe grisea,VO107,Magnaporthe grisea,Magnaporthe,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,Magnaporthe grisea,Magnaporthe,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002924675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/924/675/GCA_002924675.1_ASM292467v1/GCA_002924675.1_ASM292467v1_genomic.fna.gz
41,Pseudogymnoascus_sp._VKM_F-3808,Pseudogymnoascus_sp._VKM_F-3808,269,3,10,8,92.75862069,Leu,Pseudogymnoascus sp. VKM F-3808,VKM F-3808,Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/675/GCA_000750675.1_DG1/GCA_000750675.1_DG1_genomic.fna.gz
42,Fusarium_tucumaniae,Neocosmospora_phaseoli_NRRL_31096,264,1,24,1,91.03448276,Leu,Fusarium tucumaniae,NRRL 31096,Fusarium tucumaniae,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Neocosmospora phaseoli,Neocosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_001680535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/680/535/GCA_001680535.1_ASM168053v1/GCA_001680535.1_ASM168053v1_genomic.fna.gz
43,Ramalina_peruviana,Ramalina_peruviana,263,3,5,19,90.68965517,Leu,Ramalina peruviana,YAF0012,Ramalina peruviana,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,Pezizomycotina,Ascomycota,Ramalina peruviana,Ramalina,Ramalinaceae,Lecanorales,Lecanoromycetes,Pezizomycotina,Ascomycota,GCA_001956345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/956/345/GCA_001956345.1_RamPxa01_v1/GCA_001956345.1_RamPxa01_v1_genomic.fna.gz
44,Pseudogymnoascus_sp._VKM_F-4514_FW-929,Pseudogymnoascus_sp._VKM_F-4514_FW-929,264,3,11,12,91.03448276,Leu,Pseudogymnoascus sp. VKM F-4514 (FW-929),VKM F-4514 (FW-929),Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/795/GCA_000750795.1_DG8/GCA_000750795.1_DG8_genomic.fna.gz
45,Gaeumannomyces_sp._JS-464,Gaeumannomyces_sp._JS-464,266,0,9,15,91.72413793,Leu,Gaeumannomyces sp. JS-464,JS-464,Gaeumannomyces sp.,Gaeumannomyces,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,NA,Gaeumannomyces,Magnaporthaceae,Magnaporthales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_002197995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/197/995/GCA_002197995.1_ASM219799v1/GCA_002197995.1_ASM219799v1_genomic.fna.gz
46,Trichoderma_longibrachiatum,Trichoderma_longibrachiatum,267,0,10,13,92.06896552,Leu,Trichoderma longibrachiatum ATCC 18648,ATCC 18648,Trichoderma longibrachiatum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,Trichoderma longibrachiatum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,GCA_003025155.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/025/155/GCA_003025155.1_Trilo3/GCA_003025155.1_Trilo3_genomic.fna.gz
47,Pseudogymnoascus_sp._VKM_F-4513_FW-928,Pseudogymnoascus_sp._VKM_F-4513_FW-928,268,2,13,7,92.4137931,Leu,Pseudogymnoascus sp. VKM F-4513 (FW-928),VKM F-4513 (FW-928),Pseudogymnoascus sp.,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,NA,Pseudogymnoascus,Pseudeurotiaceae,no_rank,Leotiomycetes,Pezizomycotina,Ascomycota,GCA_000750755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/755/GCA_000750755.1_DG7/GCA_000750755.1_DG7_genomic.fna.gz
